unit_cd,unit_nm,year,market,index,value
E30000184,Bury St Edmunds,2013,Rent,enq,8883.0
E30000186,Cambridge,2013,Rent,enq,30028.0
E30000187,Canterbury,2013,Rent,enq,6629.0
E30000188,Chelmsford,2013,Rent,enq,16901.0
E30000189,Cheltenham,2013,Rent,enq,4903.0
E30000190,Chesterfield,2013,Rent,enq,4508.0
E30000191,Chichester and Bognor Regis,2013,Rent,enq,8115.0
E30000192,Clacton,2013,Rent,enq,6033.0
E30000193,Colchester,2013,Rent,enq,9115.0
E30000195,Coventry,2013,Rent,enq,24397.0
E30000196,Crawley,2013,Rent,enq,22362.0
E30000197,Crewe,2013,Rent,enq,12305.0
E30000198,Cromer and Sheringham,2013,Rent,enq,4040.0
E30000199,Darlington,2013,Rent,enq,3703.0
E30000200,Derby,2013,Rent,enq,14576.0
E30000201,Doncaster,2013,Rent,enq,7373.0
E30000202,Dudley,2013,Rent,enq,16026.0
